NP_ChEMBL_ID,Target_ChEMBL_ID,Relationship,Assay_type,Activ_type,Activ_Value,Units,Activity_ID,Assay_ChEMBL_ID,Assay,Target,Organism,Reference_ID
CHEMBL477,CHEMBL2284,I,single protein format,IC50,100000,nM,879343,CHEMBL684057,Tested for the inhibitory activity against Glycosomal glyceraldehyde 3-phosphate dehydrogenase (gGAPDH) of Trypanosoma brucei,Glyceraldehyde-3-phosphate dehydrogenase liver,Homo sapiens,CHEMBL1127859
CHEMBL477,CHEMBL2284,A,single protein format,IC50,50000,nM,879344,CHEMBL684048,Tested for the inhibitory activity against Glycosomal glyceraldehyde 3-phosphate dehydrogenase (gGAPDH) of Leishmania mexicana,Glyceraldehyde-3-phosphate dehydrogenase liver,Homo sapiens,CHEMBL1127859
CHEMBL477,CHEMBL2284,A,single protein format,IC50,35000,nM,879345,CHEMBL684096,Tested for the inhibitory activity against Glycosomal glyceraldehyde 3-phosphate dehydrogenase (gGAPDH) of human erythrocyte,Glyceraldehyde-3-phosphate dehydrogenase liver,Homo sapiens,CHEMBL1127859
CHEMBL97453,CHEMBL215,A,single protein format,IC50,2500,nM,1234825,CHEMBL618408,Tested for the inhibitory activity against 5-lipoxygenase,Arachidonate 5-lipoxygenase,Homo sapiens,CHEMBL1134741
CHEMBL453066,CHEMBL298,I,tissue-based format,IC50,150000,nM,631616,CHEMBL682557,Tested for its activity to inhibit the binding of [125I]gastrin to gastric glands (gastrin) in guinea pig,Cholecystokinin B receptor,Homo sapiens,CHEMBL1126472
CHEMBL453066,CHEMBL298,I,assay format,IC50,100000,nM,631615,CHEMBL657475,Tested for its activity to inhibit the binding of [125I]CCK-33 to Cholecystokinin type B receptor in guinea pig brain,Cholecystokinin B receptor,Homo sapiens,CHEMBL1126472
CHEMBL453066,CHEMBL2871,I,assay format,IC50,100000,nM,631614,CHEMBL663495,Tested for its activity to inhibit the binding of [125I]CCK-33 to Cholecystokinin type A receptor in rat pancreas,Cholecystokinin A receptor,Rattus norvegicus,CHEMBL1126472
CHEMBL59,CHEMBL265,A,single protein format,EC50,3.5,,408956,CHEMBL672681,Tested for its ability to stimulate rat caudate adenylate cyclase (Dopamine receptor D1) at 10 uM,Dopamine D1 receptor,Rattus norvegicus,CHEMBL1122865
CHEMBL164,CHEMBL3471,A,single protein format,IC50,600,nM,48276,CHEMBL701720,"Tested for inhibition of HIV-1 integrase, under 1 uM for the strand transfer",Human immunodeficiency virus type 1 integrase,Human immunodeficiency virus 1,CHEMBL1133723
CHEMBL164,CHEMBL3471,A,single protein format,IC50,600,nM,48276,CHEMBL701720,"Tested for inhibition of HIV-1 integrase, under 1 uM for the strand transfer",Human immunodeficiency virus type 1 integrase,Human immunodeficiency virus 1,CHEMBL1133723
CHEMBL59,CHEMBL2093868,A,protein format,IC50,5340,nM,978309,CHEMBL675850,Tested for Dopamine receptor activity by the inhibition against spiroperidol binding to rat caudate tissue.,Dopamine receptor,Rattus norvegicus,CHEMBL1122075
CHEMBL59,CHEMBL2096970,A,assay format,IC50,10000,nM,936003,CHEMBL672157,Tested for binding to dopamine receptor using [3H]spiroperidol as radioligand in calf caudate nucleus homogenates.,Dopamine receptor,Bos taurus,CHEMBL1122119
CHEMBL59,CHEMBL2096970,A,assay format,IC50,4.5,nM,936001,CHEMBL672156,Tested for binding to dopamine receptor using [3H]apomorphine as radioligand in calf caudate nucleus homogenates.,Dopamine receptor,Bos taurus,CHEMBL1122119
CHEMBL59,CHEMBL2096970,A,assay format,IC50,3.7,nM,936002,CHEMBL672155,Tested for binding to dopamine receptor using [3H]- ADTN as radioligand in calf caudate nucleus homogenates.,Dopamine receptor,Bos taurus,CHEMBL1122119
CHEMBL59,CHEMBL3138,A,cell-based format,Ki,49.3,nM,1101123,CHEMBL676299,Tested for binding affinity against dopamine receptor D3 expressed in Sf9 cells.,Dopamine D3 receptor,Rattus norvegicus,CHEMBL1126949
CHEMBL59,CHEMBL3998,A,assay format,Ki,617,nM,967192,CHEMBL670092,Tested for binding affinity against Dopamine receptor D2 like from bovine striatum membranes by using [3H]YM-09151-2 radioligand,Dopamine D2 receptor,Bos taurus,CHEMBL1131416
CHEMBL59,CHEMBL2095179,A,assay format,EC50,3500,nM,978307,CHEMBL645175,Tested for ability to stimulate dopamine sensitive adenylate cyclase in rat caudate homogenate,Adenylate cyclase,Rattus norvegicus,CHEMBL1122075
CHEMBL15192,CHEMBL3623,A,cell-based format,IC50,3000,nM,18038059,CHEMBL4009139,Substrate activity at NQO1 in human A549 cells assessed as NQO1-mediated two-electron reduction of compound by measuring cell growth inhibition treated for 24 hrs measured after 72 hrs by MTT assay,Quinone reductase 1),Homo sapiens,CHEMBL4007423
CHEMBL15192,CHEMBL2169731,A,cell-based format,IC50,11000,nM,18038070,CHEMBL4009128,Substrate activity at CPR in human L02 cells assessed as CPR-mediated one-electron reduction of compound by measuring cell growth inhibition treated for 24 hrs measured after 72 hrs by MTT assay,NADPH--cytochrome P450 reductase,Homo sapiens,CHEMBL4007423
CHEMBL28,CHEMBL4051,A,single protein format,EC50,9000,nM,15051074,CHEMBL3367480,Stimulation of CFTR (unknown origin),Cystic fibrosis transmembrane conductance regulator,Homo sapiens,CHEMBL3351502
CHEMBL8145,CHEMBL2093866,A,protein format,Selectivity,0.1,,1278230,CHEMBL826030,Selectivity was determined as ratio of IC50 against human ER alpha to that of human ER beta,Estrogen receptor,Homo sapiens,CHEMBL1147620
CHEMBL44,CHEMBL2093866,A,protein format,Selectivity,0.04,,1286734,CHEMBL826030,Selectivity was determined as ratio of IC50 against human ER alpha to that of human ER beta,Estrogen receptor,Homo sapiens,CHEMBL1147620
CHEMBL59,CHEMBL217,A,single protein format,Ratio Ki,724,,3116221,CHEMBL1066833,Selectivity ratio of Ki for human dopamine D2 receptor at low affinity state to Ki for human dopamine D2 receptor at high affinity state,Dopamine D2 receptor,Homo sapiens,CHEMBL1157594
CHEMBL242341,CHEMBL6135,A,single protein format,Ratio IC50,10,,13944557,CHEMBL3128411,Selectivity ratio of IC50 for Clostridium perfringens neuraminidase to IC50 for Influenza A virus neuraminidase,Neuraminidase,Influenza A virus,CHEMBL3124906
CHEMBL165,CHEMBL2111358,A,protein format,Selectivity index,0.11,,1759872,CHEMBL868100,"Selectivity index, IC50 for ovine COX1/IC50 for ovine COX2",Prostaglandin G/H synthase (cyclooxygenase),Ovis aries,CHEMBL1149501
CHEMBL165,CHEMBL2094253,A,tissue-based format,Selectivity index,0.09,,1759913,CHEMBL868097,"Selectivity index, IC50 for COX1/IC50 for COX2 in human whole blood",Cyclooxygenase,Homo sapiens,CHEMBL1149501
CHEMBL59,CHEMBL265,A,single protein format,Ratio,1.06,,1285376,CHEMBL667657,Selectivity index of D1 receptor to that of D2 receptor was determined,Dopamine D1 receptor,Rattus norvegicus,CHEMBL1125367
CHEMBL44,CHEMBL2093866,A,protein format,Ratio IC50,45,,1796049,CHEMBL909845,Selectivity for recombinant human ERbeta over ERalpha,Estrogen receptor,Homo sapiens,CHEMBL1137296
CHEMBL44,CHEMBL2093866,A,protein format,Ratio IC50,22.5,,1661249,CHEMBL868724,Selectivity for human ERbeta over human ERalpha,Estrogen receptor,Homo sapiens,CHEMBL1141242
CHEMBL8145,CHEMBL2093866,A,protein format,Selectivity,100,,1506800,CHEMBL830453,Selectivity for Estrogen receptors alpha and beta,Estrogen receptor,Homo sapiens,CHEMBL1144341
CHEMBL8145,CHEMBL2093866,A,protein format,Selectivity,100,,1506801,CHEMBL830453,Selectivity for Estrogen receptors alpha and beta,Estrogen receptor,Homo sapiens,CHEMBL1144341
CHEMBL44,CHEMBL2093866,A,protein format,Selectivity,47.2,,1506666,CHEMBL830453,Selectivity for Estrogen receptors alpha and beta,Estrogen receptor,Homo sapiens,CHEMBL1144341
CHEMBL44,CHEMBL2093866,A,protein format,Selectivity,47.2,,1506667,CHEMBL830453,Selectivity for Estrogen receptors alpha and beta,Estrogen receptor,Homo sapiens,CHEMBL1144341
CHEMBL44,CHEMBL2093866,A,protein format,Ratio IC50,32,,1701158,CHEMBL860991,Selectivity for ER beta over ER alpha,Estrogen receptor,Homo sapiens,CHEMBL1146098
CHEMBL477,CHEMBL3589,A,assay format,Ratio,1,,74490,CHEMBL850213,"Selectivity for adenosine kinase, Ratio of non-specific cellular (ID50) and specific MMPR-related (ED50) toxicity",Adenosine kinase,Homo sapiens,CHEMBL1126884
CHEMBL44,CHEMBL2093866,A,protein format,Selectivity,41,,1469983,CHEMBL831723,Selectivity fold for estrogen receptor beta over estrogen receptor alpha,Estrogen receptor,Homo sapiens,CHEMBL1138773
CHEMBL44,CHEMBL2093866,A,protein format,Selectivity,41,,1615238,CHEMBL884157,Selectivity as ratio of IC50 against estrogen receptor alpha and beta,Estrogen receptor,Homo sapiens,CHEMBL1140390
CHEMBL140,CHEMBL1951,I,single protein format,Inhibition,,,16513058,CHEMBL3784061,Reversible inhibition of recombinant human MAO-A using p-tyramine as substrate incubated for 1 hr by centrifugation ultra filtration method,Monoamine oxidase A,Homo sapiens,CHEMBL3779800
CHEMBL306946,CHEMBL3627587,I,assay format,Inhibition,,,16819600,CHEMBL3872641,Reversible inhibition of recombinant human C-terminal His6-tagged IDO2 (14-420 residues) expressed in Escherichia coli BL21(DE3) assessed as reduction in L-kynurenine formation using L-tryptophan as substrate after 30 mins,"Indoleamine 2,3-dioxygenase 2",Homo sapiens,CHEMBL3872206
CHEMBL164,CHEMBL3399911,I,single protein format,Inhibition,>100,uM,18339626,CHEMBL4138491,Reversible inhibition of full-length GST-fused human CBS using cysteine/homocysteine as substrate assessed as decrease in H2S production at 100 uM preincubated for 1 hr followed by ultrafiltration for 5 times,Cystathionine beta-synthase,Homo sapiens,CHEMBL4138050
CHEMBL164,CHEMBL3399911,I,single protein format,Inhibition,>100,uM,18339626,CHEMBL4138491,Reversible inhibition of full-length GST-fused human CBS using cysteine/homocysteine as substrate assessed as decrease in H2S production at 100 uM preincubated for 1 hr followed by ultrafiltration for 5 times,Cystathionine beta-synthase,Homo sapiens,CHEMBL4138050
CHEMBL44,CHEMBL2093866,A,assay format,Ratio,41,,1512919,CHEMBL829115,Relative inhibition of [3H]17-beta-estradiol binding to human estrogen receptor alpha and beta expressed in Escherichia coli,Estrogen receptor,Homo sapiens,CHEMBL1139538
CHEMBL169,CHEMBL1923,A,assay format,Ratio IC50,3.4,,2085268,CHEMBL929933,Relative chloroquine IC50 for beta-hematin formation,Histidine-rich protein,Plasmodium falciparum,CHEMBL1143174
CHEMBL103,CHEMBL3271928,A,single protein format,log(RBA),2,,14698120,CHEMBL3281643,Relative binding affinity to sheep progesterone receptor,Progesterone receptor,Ovis aries,CHEMBL3272135
CHEMBL103,CHEMBL3456,A,single protein format,log(RBA),2,,14698172,CHEMBL3281644,Relative binding affinity to rabbit progesterone receptor,Progesterone receptor,Oryctolagus cuniculus,CHEMBL3272135
CHEMBL103,CHEMBL208,A,single protein format,RBA,100,,14698279,CHEMBL3281642,Relative binding affinity to human progesterone receptor,Progesterone receptor,Homo sapiens,CHEMBL3272135
CHEMBL103,CHEMBL208,A,single protein format,log(RBA),2,,14698065,CHEMBL3281642,Relative binding affinity to human progesterone receptor,Progesterone receptor,Homo sapiens,CHEMBL3272135
