Index,canonical_smiles,True label,skin_toxicity,skin_toxicity_note,carcinogenicity,carcinogenicity_note,XGB_ECFP_prob,XGB_MACCS_prob,XGB_RDKIT_prob,BiLSTM_ECFP_prob,BiLSTM_MACCS_prob,BiLSTM_RDKIT_prob,sa_score,pass_ml,Predicted label,pass_toxicity,pass_sa_2,select_for_docking_sa2
4869,O=C(C1CCC(CNS(=O)(=O)c2cccc3cccnc23)CC1)N1CCc2ccccc21,1,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.403742194,0.486842722,0.87484622,0.000692091,0.296929836,0.092861161,2.392405415,no,0,yes,no,no
14638,COc1ccc(C(=O)N2CCSC2=S)cc1OC,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.340126157,0.263840944,0.093312077,0.015358713,0.139778048,0.193788096,2.222868041,no,0,yes,no,no
773,Cc1[nH]c2ccccc2c1CCNC(=O)c1cnc(Nc2cccc(=O)[nH]2)nc1,1,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.935006201,0.83087796,0.993925393,0.999996483,0.579367995,0.994099438,2.620135801,yes,1,yes,no,no
9320,O=C(C1CC1)N1CCC(c2nc(-c3ccc(S(=O)(=O)NCC4CCCO4)cc3)no2)CC1,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.150333822,0.099852383,0.005848499,1.47E-07,0.100288391,0.000383465,2.906412472,no,0,yes,no,no
13536,Cc1ccc(S(=O)(=O)N2CCOCC2)cc1C(=O)OCC(=O)N1CCc2ccccc2C1,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.291860759,0.103876948,0.024040176,9.22E-05,0.325401902,0.015842,2.271455572,no,0,yes,no,no
9111,c1ccc(CCn2nnnc2C(c2cccnc2)N2CCN(c3ccccc3)CC2)cc1,0,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.036342401,0.028520446,0.00623986,7.77E-06,0.024825534,0.002390524,2.714507602,no,0,no,no,no
12641,O=C1CC(N2CCOCC2)C(=O)N1CCc1ccccc1,0,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.14547573,0.123266369,0.033963189,4.51E-05,0.263007969,0.005478789,2.533559806,no,0,no,no,no
9829,COc1ccc(OC)c(-c2csc(N(Cc3ccco3)C(=O)c3cccs3)n2)c1,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.159215108,0.222016275,0.043364186,0.961066067,0.044312045,0.004443451,2.427613273,no,0,yes,no,no
590,O=C1C(=NO)CCc2ccccc21,1,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.796976864,0.68701607,0.93393302,0.984317601,0.014230891,0.999933243,2.32615659,no,0,no,no,no
7206,C=C1C(=O)O[C@H](CC(C)=O)[C@@H]1CC1=C(C)CCC1=O,1,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.404111296,0.992605209,0.996962011,0.162314191,0.999999762,0.999999344,4.143472038,no,0,no,no,no
11753,CCc1c(C)nc(Nc2nc(C)c3cc(OC)ccc3n2)[nH]c1=O,0,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.324959517,0.242042437,0.164213389,0.017756306,0.103049457,0.450576335,2.550600427,no,0,no,no,no
3358,C=C1CCC[C@]2(C)C[C@H]3OC(=O)C(CNC(C)(CO)CO)[C@H]3CC12,1,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.960988522,0.919094324,0.949679673,0.999999881,0.996026337,0.999996722,4.527779291,yes,1,yes,no,no
964,O=C(c1c(Cl)nc2sccn12)N1CCCc2ccccc21,1,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.545707583,0.489261627,0.884525836,0.000105854,0.170810565,0.098737165,2.498998223,no,0,yes,no,no
8975,CC(c1ccccc1)n1cc(C(=O)NCC2COc3ccccc3O2)nn1,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.074727595,0.05527994,0.021801082,1.22E-07,0.015481422,0.011233681,3.096823941,no,0,yes,no,no
1065,COc1cccc(S(=O)(=O)Nc2ccc(C(=O)N3CCN(C(=O)c4ccco4)CC3)cc2)c1,1,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.378889382,0.138331503,0.777213097,0.000336717,0.144596696,0.073010974,2.127727134,no,0,yes,no,no
9617,CCN(CC)S(=O)(=O)c1ccc(S(=O)(=O)Nc2ccc(C(=O)N3CCCC3)cc2)cc1,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.17147772,0.181933179,0.123912521,0.026603317,0.35408026,0.017359536,2.063587425,no,0,yes,no,no
2028,CCN(CC)C(=O)COC(=O)c1cc(-c2ccco2)nc2ccccc12,1,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.591131389,0.511119425,0.96456337,0.999991775,0.114795811,0.818346083,2.166016808,no,0,no,no,no
2039,CNC(=O)COC(=O)c1cc(-c2ccco2)nc2ccccc12,1,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.721470237,0.730300963,0.948623896,0.999822855,0.737352908,0.9205423,2.062853759,yes,1,yes,no,no
2063,CCNC(=O)COC(=O)c1cc(-c2ccco2)nc2ccccc12,1,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.689383805,0.577685475,0.959364891,0.999890804,0.342361629,0.908400118,2.050971266,no,0,no,no,no
3126,O=[N+]([O-])c1ccc(N=Nc2c(Cl)cc(O)cc2Cl)cc1,1,"Non-corrosive, Irritant, Sensitizer",1,non-carcinogen,0,0.969777584,0.926559746,0.981325269,0.999999821,0.440204531,0.999999702,2.552127823,no,0,no,no,no
3968,CCOc1ccc(/C=C2/SC(=O)NC2=S)cc1,1,"Non-corrosive, Irritant, Non-sensitizer",1,non-carcinogen,0,0.872145474,0.909110188,0.952837944,0.998040438,0.985856712,0.999860406,2.354905043,yes,1,no,no,no
4001,COc1ccc(/C=C2\SC(=O)NC2=S)cc1OC,1,"Non-corrosive, Irritant, Sensitizer",1,non-carcinogen,0,0.956155658,0.947279155,0.947843671,0.999999225,0.998425424,0.998811007,2.361224349,yes,1,no,no,no
12477,CCn1c(SCC(=O)N(C(C)C)C(C)C)nnc1-c1cc2ccccc2cc1O,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.169312581,0.065657444,0.039091516,9.67E-06,0.051034056,0.08891058,2.508586652,no,0,yes,no,no
15358,CCN(CC)C(=O)CSc1nnc(-c2cc3ccccc3cc2O)n1CC,0,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.10221646,0.041084163,0.040637009,1.44E-06,0.055414282,0.076043248,2.366590537,no,0,no,no,no
4717,CCOc1ccc(NC(=O)CN(C)C(=O)CC(NC(=O)c2ccccc2)c2ccccc2)cc1OCC,1,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.499877304,0.553234696,0.680233657,0.077776656,0.292882681,0.023861432,2.622629246,no,0,yes,no,no
2023,O=C(/C=C/c1ccc([N+](=O)[O-])cc1)N(c1ccccn1)C1CCCCC1,1,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.942939997,0.926877141,0.99405539,0.999951959,0.937580585,0.993693888,2.413697182,yes,1,no,no,no
4069,N#C/C(=C\c1ccccc1)C(=O)N(c1ccccn1)C1CCCCC1,1,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.905697286,0.788819432,0.970702946,0.999991357,0.953415811,0.962165952,2.462734271,yes,1,no,no,no
11198,CCC(OC(=O)c1cc2sccc2n1C)C(=O)NCc1ccco1,0,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.197090641,0.053155474,0.006454833,0.959882855,0.029833185,0.005109316,3.013902843,no,0,no,no,no
13672,COc1cc2c(cc1OC)C(c1cccs1)NCC2,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.471984714,0.556031287,0.148710668,3.59E-06,0.966773868,0.999651253,2.730461385,no,0,yes,no,no
14224,CCOC(=O)C1=C(COC(=O)c2ncc(Cl)c(Cl)c2Cl)NC(=O)NC1C,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.41914621,0.140887618,0.074251048,0.04073729,0.004127634,0.056695115,3.172986626,no,0,yes,no,no
12548,CC(=O)Nc1ccc(N(C(=O)c2cnccn2)C(C(=O)NC2CCCCC2)c2ccc(O)cc2)cc1,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.378002733,0.202488974,0.172524691,0.993893862,0.053438447,0.41929993,2.906142182,no,0,yes,no,no
3510,COC(=O)c1c(NC(=O)CCl)sc(C(=O)N2CCOCC2)c1C,1,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.662625492,0.800199866,0.803108573,0.991333961,0.089589179,0.125629559,2.32319252,no,0,no,no,no
9384,CN(C(=O)C1CCOC1)c1nnc(-c2cnccn2)s1,0,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.137484297,0.054147609,0.00895182,3.29E-05,0.076002583,0.001597767,3.266714622,no,0,no,no,no
10177,Cc1cnc(-c2nnc(N(C)C(=O)C3CCOC3)s2)cn1,0,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.091442287,0.061237466,0.010017996,1.56E-06,0.07417886,0.002017574,3.303355153,no,0,no,no,no
15325,O=C(CN1CCN(S(=O)(=O)c2ccccc2)CC1)NC(=O)NC1CCCCC1,0,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.062780522,0.026089802,0.017520634,1.27E-05,0.176291108,0.000139634,2.039510429,no,0,no,no,no
6336,CC1CCN(CCN(C(=O)Nc2ccc(Cl)cc2)c2ccc3nc(N)sc3c2)CC1,1,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.869441509,0.939638853,0.984992504,0.999999821,0.976000726,0.999226213,2.422899256,yes,1,yes,no,no
6648,Nc1nc2ccc(N(CCN3CCCCC3)C(=O)Nc3ccc(Cl)cc3)cc2s1,1,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.765497506,0.895666122,0.984858036,0.99999404,0.970550358,0.998883605,2.353122614,yes,1,yes,no,no
8444,CCN(CC(=O)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1)Cc1ccccc1,0,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.16079697,0.047350693,0.052218489,0.834964037,0.22112456,0.019294268,1.933094393,no,0,no,yes,no
4156,Cc1cc(C(=O)O)ccc1-n1c(C)cc(C=C2C(=O)c3ccccc3C2=O)c1C,1,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.95860678,0.68081665,0.964472651,0.999999404,0.108416945,0.999900758,2.310496652,no,0,yes,no,no
10078,CCOc1cc(C)nc(NCCc2ccc(OC)c(OC)c2)n1,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.320462078,0.127986118,0.049639083,0.000192192,0.070673391,0.014071715,2.088713501,no,0,yes,no,no
11617,O=C1N(CN2C(=O)C3(OCCO3)c3ccccc32)c2ccccc2C12OCCO2,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.201177582,0.099159561,0.038951885,5.41E-06,0.093926407,0.009526233,3.61711951,no,0,yes,no,no
161,C=CCNc1nc(N)c(C(=O)Nc2cc(C)on2)s1,1,"Non-corrosive, Non-irritant, Sensitizer",1,carcinogen,1,0.600537658,0.641943216,0.906681895,5.89E-05,0.136141688,0.935068071,2.719430946,no,0,no,no,no
14150,CC(C)(C)CNC(=S)Nc1ccc2c(c1)CCN2C(=O)Cc1ccc(F)cc1,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.332441837,0.093881495,0.05817014,0.042722959,0.023699803,0.256948262,2.31995429,no,0,yes,no,no
9201,Cc1ccc(C(C(=O)NC2CCCC2)N(C(=O)c2csnn2)C2CCCC2)o1,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.116507731,0.076440565,0.04594155,1.59E-05,0.02788117,0.009068435,3.194397795,no,0,yes,no,no
4139,CC(C)(C)C(=O)/C=c1\s/c(=C\c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)c(=O)n1CC(=O)NC(N)=O,1,"Non-corrosive, Non-irritant, Non-sensitizer",0,carcinogen,1,0.774477243,0.901505888,0.961260378,0.999984324,0.994906127,0.989182472,2.923112281,yes,1,no,no,no
12809,CCOCCn1c(CN2CCC(Cc3ccccc3)CC2)nc2c1c(=O)n(C)c(=O)n2C,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.146880999,0.034535702,0.018629272,4.10E-05,0.049259532,0.029541517,2.474501049,no,0,yes,no,no
13133,COCCn1c(CN2CCC(Cc3ccccc3)CC2)nc2c1c(=O)n(C)c(=O)n2C,0,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.106596239,0.037511677,0.020827573,2.67E-06,0.045979314,0.029747609,2.418948634,no,0,no,no,no
7510,COc1cc2oc(C)c(-c3ccccc3)c2cc1O,1,"Non-corrosive, Non-irritant, Sensitizer",1,carcinogen,1,0.770925462,0.865790427,0.922316611,0.287424207,0.557500422,0.716607928,2.008097661,no,0,no,no,no
11929,O=C(CN(C(=O)C1CSC(=O)C1)c1ccccc1F)NCc1ccc2c(c1)OCO2,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.1307524,0.197414428,0.051496852,0.000300683,0.045648728,0.005121797,3.111609841,no,0,yes,no,no
909,Cc1cc(NC(=O)CSc2nnc3c4c(C)c(C)sc4ncn23)no1,1,"Non-corrosive, Non-irritant, Sensitizer",1,carcinogen,1,0.424249113,0.154662788,0.868123412,0.633930147,0.083477616,0.020088077,2.661154811,no,0,no,no,no
9108,O=C(NCc1ccco1)c1cccs1,0,"Non-corrosive, Non-irritant, Sensitizer",1,carcinogen,1,0.172141731,0.137415588,0.117906697,0.001939029,0.005711645,0.035329387,1.891354507,no,0,no,yes,no
15667,CC(C)[C@H](NC(=O)c1ccccc1)C(=O)OCC(=O)c1ccc2c(c1)NC(=O)CO2,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.306192487,0.126237765,0.06579423,0.996589005,0.05125827,0.645552933,2.680872708,no,0,yes,no,no
2075,N#Cc1c(Nc2ccccc2C(F)(F)F)s[nH]c1=O,1,"Non-corrosive, Irritant, Sensitizer",1,non-carcinogen,0,0.76285857,0.839738607,0.88769877,0.083764374,0.64286536,0.998430908,2.685667583,no,0,no,no,no
2076,N#Cc1c(Nc2ccccc2Cl)s[nH]c1=O,1,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.607426524,0.73643744,0.927100658,0.019051364,0.787194431,0.999582589,2.567748475,no,0,no,no,no
10808,Cc1cc(C)c2[nH]c(=O)c(C(c3nnnn3Cc3ccc4c(c3)OCO4)N3CCCC3)cc2c1,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.038212784,0.019138834,0.005267987,1.01E-07,0.009776963,0.004561019,3.141681366,no,0,yes,no,no
13610,N#Cc1c2n(c(=O)[nH]c1=O)CCCCC2,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.202244103,0.051292311,0.040778369,0.017459923,0.041707393,0.030891538,2.65613202,no,0,yes,no,no
8150,C=C1[C@@H]2[C@@H](O)[C@H](O)C(C)(C)[C@@]2(O)[C@H](O)C[C@]23C[C@@](C)(O)[C@H](CC[C@@H]12)[C@H]3O,1,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.976278007,0.99713707,0.996848762,0.999999881,1,0.999999881,6.583429916,yes,1,yes,no,no
8151,C=C1[C@@H]2CC[C@@H]3C[C@@]2(C[C@@H](O)[C@@]2(O)[C@H]1C[C@H](O)C2(C)C)C[C@@]3(C)O,1,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.944493115,0.99713707,0.996549845,0.999999881,1,0.999999821,6.307586183,yes,1,yes,no,no
13983,CCOc1ccc(S(=O)(=O)N(CC(=O)N2CCc3ccccc3C2)c2ccccc2)cc1,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.327196419,0.197496191,0.054755434,0.000910277,0.346512079,0.007544442,2.132154217,no,0,yes,no,no
131,CCCc1cc2c(c(NC(C)=O)n1)c(=O)oc1ccccc12,1,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.338267356,0.291089505,0.870897353,1.37E-05,0.070174523,0.978694499,2.430395566,no,0,yes,no,no
11123,NC(=O)c1c(NC(=O)CSc2nnc(-c3ccccc3)n2CC2CCCO2)sc2c1CCC2,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,carcinogen,1,0.093564644,0.075276718,0.068299063,3.70E-06,0.042799283,0.031162892,2.920870559,no,0,no,no,no
9169,CC(C)Oc1cccc(C(=O)Nc2ccccc2N2CCOCC2)c1,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.227182224,0.181956127,0.130674854,0.005064936,0.351365685,0.015366943,1.881335852,no,0,yes,yes,no
9501,CC(C)c1nnc(NC(=O)Cn2nc(-c3ccc4c(c3)OCCO4)ccc2=O)s1,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,carcinogen,1,0.126595914,0.264706045,0.067125037,1.07E-05,0.241177216,0.595117629,2.497688833,no,0,no,no,no
1335,Cc1ccc(/C=C2\SC(N)=NC2=O)s1,1,"Non-corrosive, Irritant, Sensitizer",1,non-carcinogen,0,0.61242497,0.888994932,0.954097152,0.821940064,0.999433398,0.999263108,2.7376581,yes,1,no,no,no
14871,O=C(N[C@H]1CNC1=O)OCc1ccc(-c2cocn2)cc1,0,"Non-corrosive, Irritant, Sensitizer",1,non-carcinogen,0,0.454932719,0.351313353,0.106801711,0.996614933,0.958716691,0.188747913,3.062024371,no,0,no,no,no
6890,COc1ccc(C2=NN(Cc3ccc(CN4CCC5(CC4)OCCO5)cc3)C(=O)[C@@H]3CC=CC[C@H]23)cc1OC,1,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.969458699,0.948366046,0.991555929,1,0.929776013,0.999993265,4.035349434,yes,1,yes,no,no
2747,O=C(Cn1ncc(Cl)c(Cl)c1=O)NCC1CCCCC1,1,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.734499753,0.704349041,0.977685392,0.998582482,0.673508465,0.999991775,2.248087773,yes,1,no,no,no
4768,CCOC(=O)c1[nH]c(C)c(C(=O)OCC(=O)N2CCCCC2C)c1C,1,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.298101485,0.377136171,0.761984766,0.154264659,0.277306348,0.491296411,2.706187339,no,0,no,no,no
10074,Cc1nc2cc(N3CCCCC3)c(NC(=O)c3cccnc3)cc2c(=O)n1Cc1ccccc1,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.132247075,0.176887244,0.06716878,0.986436307,0.208528623,0.099463806,2.326118155,no,0,yes,no,no
3261,COc1ccc(CCNC(=O)c2cccc([N+](=O)[O-])c2)cc1OC,1,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.801279426,0.515376687,0.856765568,0.109741919,0.385085106,0.300533652,1.76850766,no,0,no,yes,no
13147,O=c1cc(Cn2ccnc2)c2cc3c(cc2o1)CCC3,0,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.157880828,0.353346229,0.028481524,0.004285364,0.416351467,0.003242598,2.448039394,no,0,no,no,no
5744,CC(C(=O)O)c1ccc(-c2cccc(OC(=O)NCCC3CCCCC3)c2)c(F)c1,1,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.627996206,0.550925314,0.846275091,0.654143333,0.45005092,0.854495168,2.757986515,no,0,no,no,no
9126,Cc1ccccc1Cn1cc(NC(=O)c2cc3nc(-c4ccco4)cc(C(F)(F)F)n3n2)cn1,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.227566049,0.218818069,0.097670153,0.999996006,0.184660986,0.247404173,2.697081806,no,0,yes,no,no
10339,Cc1nn(Cc2ccccc2)c(C)c1NC(=O)c1cc2nc(-c3ccco3)cc(C(F)(F)F)n2n1,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.185672954,0.288940847,0.060724553,0.260956317,0.594405055,0.134639308,2.662975601,no,0,yes,no,no
4191,CCOC(=O)c1ccc2c(c1)N(CC#N)C(=O)C(C)(C)O2,1,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.323015869,0.204957187,0.754341245,0.013350222,0.001129343,0.000448651,2.468936738,no,0,no,no,no
9473,CCC(C)(C)NC(=O)c1ccc2c(c1)N(CC(=O)OC)C(=O)C(C)(C)O2,0,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.228952572,0.137283131,0.031276848,9.31E-06,0.012870489,0.006976952,2.517532499,no,0,no,no,no
15342,COCCCNC(=O)CCN1C(=O)COc2ccc(C)cc21,0,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.149341449,0.113193177,0.098210707,6.60E-06,0.052707519,0.005904773,2.138978692,no,0,no,no,no
3473,Cc1cccc(NS(=O)(=O)c2ccc(-c3cnc(C4CC4)o3)cc2)c1C,1,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.744378805,0.712730408,0.961699963,0.004050791,0.082434088,0.12781629,2.232538657,no,0,yes,no,no
3474,Cc1cccc(C)c1NS(=O)(=O)c1ccc(-c2cnc(C3CC3)o2)cc1,1,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.459821701,0.712730408,0.932669938,0.002642162,0.082434088,0.024472151,2.258180596,no,0,yes,no,no
3475,Cc1cc(C)cc(NS(=O)(=O)c2ccc(-c3cnc(C4CC4)o3)cc2)c1,1,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.621896088,0.528040111,0.960879505,0.855138898,0.049435847,0.027330648,2.272462998,no,0,yes,no,no
2195,COc1ccc(-c2csc3ncnc(NCCN4CCOCC4)c23)cc1,1,"Non-corrosive, Non-irritant, Sensitizer",1,carcinogen,1,0.833027005,0.757275283,0.947273612,0.999989152,0.715676725,0.053711675,2.268389529,no,0,no,no,no
2312,Cc1ccc(-c2csc3ncnc(NCCN4CCOCC4)c23)cc1,1,"Non-corrosive, Non-irritant, Sensitizer",1,carcinogen,1,0.747442603,0.598505259,0.938033879,0.999388695,0.515136838,0.067789279,2.271786787,no,0,no,no,no
2849,CCOc1ccc(-n2cc(-c3ccccc3)c3c(N4CCOCC4)ncnc32)cc1,1,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.8704831,0.636838675,0.989103198,0.999585152,0.396938264,0.638840973,2.279236003,no,0,yes,no,no
2933,COc1ccc(-n2cc(-c3ccccc3)c3c(N4CC(C)OC(C)C4)ncnc32)cc1,1,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.90676254,0.646645784,0.979893208,0.99988085,0.178699255,0.860017717,3.096663902,no,0,yes,no,no
2941,Cc1ccc(-n2cc(-c3ccccc3)c3c(N4CCOCC4)ncnc32)cc1,1,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.91595149,0.485780835,0.985309422,0.999998093,0.387771368,0.971462727,2.233627563,no,0,no,no,no
2943,Fc1ccc(-n2cc(-c3ccccc3)c3c(N4CCOCC4)ncnc32)cc1,1,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.911914766,0.509928167,0.982594848,0.999992907,0.395638078,0.980053067,2.249704116,no,0,no,no,no
12818,CC(C)[C@@H]1N[C@]2(C(=O)Nc3ccccc32)[C@@H]2C(=O)N(c3cccc(C(F)(F)F)c3)C(=O)[C@@H]21,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.328097284,0.235300303,0.015964238,0.000849015,0.262781471,0.014242074,4.139210519,no,0,yes,no,no
